name,location,latitude,longitude
i-Bar - The Park Bangalore,Mg Road,,
Imperial Restaurant,Residency Road,,
Fort Kochi,Mg Road,,
Chugg,Church Street,,
Palmgrove,Residency Road,,
MTR 1924,St. Marks Road,,
Downtown,Residency Road,12.9730015,77.6086779
Mighty Small,Mg Road,,
White Plate,Mg Road,,
Soul City,Lavelle Road,,
Indian Coffee House,Church Street,12.9745397,77.6052505
Siddappa Hotel,Richmond Road,,
Faasos,Residency Road,,
Chikkanna Tiffin Room,City Market,,
Plan B,Shanti Nagar,,
Maxpresso,Koramangala 7Th Block,,
Lakeview Milkbar,Koramangala 8Th Block,,
Onesta,Brookefield,,
Imperio Restaurant,Brookefield,,
Zaica Dine & Wine,Brookefield,,
AB's - Absolute Barbecues,Whitefield,,
Flechazo,Whitefield,,
Ji Hazoor,Whitefield,,
HQ,Whitefield,12.9696365,77.7497448
The Terrace at Windmills Craftworks,Whitefield,,
Mainland China,Whitefield,12.9556191,77.7251708
Bufferia,Marathahalli,,
M Cafe - Bengaluru Marriott Hotel Whitefield,Whitefield,,
The Square Table,Whitefield,,
Marigold Fine Dine Restaurant,Whitefield,,
Chai Galli,Brookefield,,
Biggies Burger 'n' More,Brookefield,,
An Egg Story,Brookefield,,
Bloomsbury's Global Kitchen & Bakehouse,Whitefield,,
Enchanted Garden,Whitefield,,
Cafe Palmyra,Whitefield,,
Midnight Mania,Marathahalli,,
Buddha Treats,Brookefield,,
Biryani Day,Marathahalli,,
Refresh,Whitefield,,
Game Of Tandoors,Marathahalli,,
Yo! Chow,Marathahalli,,
Kanti Sweets,Brookefield,12.9649467,77.717057
Village Restaurant,Marathahalli,,
Eat Eroo - Bombay Vada Pav,Marathahalli,,
Orbis Restaurant,Whitefield,12.9582606,77.7467035
Cream Stone,Marathahalli,,
Kesar Sweet Shop and Fast Food,Brookefield,,
The Paratha Company,Whitefield,,
Imperial Restaurant,Marathahalli,,
Foodism,Marathahalli,,
HOMMS,Marathahalli,,
Pizza Hut,"Itpl Main Road, Whitefield",,
Samosa Singh,Marathahalli,,
Maria Taste Circle,Marathahalli,,
Maa Bhook Lagi,Whitefield,,
Chatpatlal Sweets & Snacks,Marathahalli,,
Paradise,Whitefield,12.9578019,77.7454789
Corner House Ice Cream,Marathahalli,,
Stonelicious,Marathahalli,,
Cold Stone Creamery,Whitefield,,
Shanmukha,Brookefield,,
Onesta,Marathahalli,,
Brew and Barbeque - A Microbrewery Pub,Marathahalli,,
Sidewalk - The Garden Bar,Marathahalli,,
Chaat Street,"Varthur Main Road, Whitefield",,
Sorse,Whitefield,12.9587668,77.7466114
Nizam's Biryani House,Marathahalli,,
Le Charcoal,Brookefield,,
Galito's,Whitefield,,
Delhi Walle,Marathahalli,,
Nandighosha,Marathahalli,,
Coastal Hub,Whitefield,,
Suryawanshi,Whitefield,,
9D Foods,Marathahalli,,
The Fat Chef,Whitefield,12.9575682,77.7409586
The Egg Factory,Whitefield,,
Punjabi Kitchen,Whitefield,,
Boondock Bistro,Whitefield,,
Mani's Dum Biryani,Marathahalli,,
Sherlock's Pub,Brookefield,,
Leon Grill,Marathahalli,,
Green Hyderabad Biryani House,Whitefield,12.988242,77.7298397
Cafesta,Whitefield,,
Hyderabad Biryaani House,Whitefield,,
Chefactory Gold by Flechazo,Whitefield,,
Chulha Chauki Da Dhaba,Marathahalli,,
eat.fit,Whitefield,,
You Mee,Whitefield,,
Dil Se Dilli,Whitefield,,
Rajdhani Thali Restaurant,Whitefield,,
Khan Saheb Grills and Rolls,Whitefield,,
Simhapuri Kitchen,Brookefield,,
Punjab Grill,Whitefield,,
Biryani Kitchen,Whitefield,,
Odisha Platter,Marathahalli,,
Bangalore Mandarin,Whitefield,12.9700883,77.7502482
Oliver's Pub & Diner,Whitefield,,
Biriyani Zone,Whitefield,,
Glen's Bakehouse,Whitefield,,
Chin Chin by The Biere Club,Whitefield,,
Stoner,Whitefield,,
NH8,Whitefield,12.9696365,77.7497448
Toscano,Whitefield,12.9598943,77.7481291
Real Fresh Dosa Corner,Brookefield,,
East Delicious,Marathahalli,,
Suchithra Biryani House,Marathahalli,,
Hind Ka Chulah,Marathahalli,,
Kapoor's Cafe,Whitefield,12.9561751,77.7199631
Wok With Chung,Marathahalli,,
Dakshin Spice,Marathahalli,,
Cafe Petu,Marathahalli,,
Rafoo Chakkar,Whitefield,,
Dhaba Social,Brookefield,,
Puchkas,Marathahalli,,
Kakaji,Marathahalli,,
Kidilum,Whitefield,,
Andhra Kafe,Whitefield,12.9888473,77.7264325
Luscious Folks,Marathahalli,,
Orzuv,Whitefield,12.962909,77.7477379
Punjabi by Nature 2.0,Whitefield,12.987086,77.7369762
Jade,Brookefield,12.9645823,77.7161206
Amoeba Sports Bar,Whitefield,,
Happy Singh,Whitefield,,
Indian Tadka,Whitefield,,
Jaffa's Biryani,Marathahalli,,
Jalsa,Marathahalli,,
Apoorva Multi Cuisine Restaurant,Brookefield,,
Kaafi Desi,Marathahalli,,
Beyond Elements,Whitefield,,
Salt Mango Tree,Whitefield,12.9598095,77.7483757
Golkonda Chimney,Marathahalli,,
Brooks 37,Brookefield,,
Chef Baker's,Brookefield,,
Chez Mariannick,Whitefield,12.9550393,77.7297525
Gilly's Restobar,Brookefield,,
Chulha Chauki Da Dhaba,Brookefield,12.9644211,77.7158807
Taco Bell,Brookefield,,
Sri Udupi Park,Brookefield,12.9618168,77.716394
Biergarten,Whitefield,,
Windmills Craftworks,Whitefield,,
Oota Bangalore,Whitefield,,
Hyderabad Chefs,Whitefield,,
Beijing Bites,Whitefield,12.9598375,77.7476967
Pablo's Gastrobar,Whitefield,,
Alto Vino - Bengaluru Marriott Hotel Whitefield,Whitefield,,
Faasos,Marathahalli,,
Rolls On Wheels,Marathahalli,,
AB's - Absolute Barbecues,Btm,,
The Globe Grub,Btm,,
"3B's - Buddies, Bar & Barbecues",Btm,,
Savoury Restaurant,Btm,,
The Black Pearl,Koramangala 5Th Block,,
XOOX Brewmill,Koramangala 5Th Block,,
Buff Buffet Buff,Koramangala 5Th Block,,
Boho,Koramangala 5Th Block,,
Sultans of Spice,Koramangala 5Th Block,,
Asia Kitchen By Mainland China,Koramangala 5Th Block,,
Bonsouth,Koramangala 5Th Block,,
Village - The Soul of India,Jp Nagar,,
Punjab Bistro,Koramangala 7Th Block,,
Toscano,Koramangala 7Th Block,,
By The Blue - Grand Mercure,Koramangala 3Rd Block,,
Salt - Indian Restaurant Bar & Grill,Koramangala 7Th Block,,
Oye Amritsar,Koramangala 6Th Block,,
Hunan,Koramangala 5Th Block,,
Empire Restaurant,Koramangala 5Th Block,,
Naati Manae,Koramangala 5Th Block,12.9345723,77.6199541
Over The Top Terrace Lounge,Koramangala 5Th Block,,
Nouvelle Garden,Jp Nagar,,
12th Main - Grand Mercure,Koramangala 3Rd Block,,
Shri Madhuram,Hsr,,
Biggies Burger 'n' More,Btm,,
Fabindia Cafe,Koramangala 2Nd Block,,
Truffles,Koramangala 5Th Block,,
Dyu Art Cafe,Koramangala 5Th Block,,
Om Made Cafe,Koramangala 5Th Block,,
A Hole Lotta Love Cafe,Koramangala 5Th Block,,
Hungry Hippie,Koramangala 5Th Block,,
Dice N Dine,Koramangala 5Th Block,,
Stoner,Koramangala 5Th Block,,
YORK St.,Koramangala 5Th Block,,
Roundup Cafe,Koramangala 5Th Block,,
Lot Like Crepes,Koramangala 7Th Block,,
Enerjuvate Studio & Cafe,Koramangala 4Th Block,,
Market Table,Koramangala 5Th Block,,
Mr. Beans - Home Cafe,Koramangala 3Rd Block,,
154 Breakfast Club,Koramangala 3Rd Block,,
99 Pancakes,Koramangala 5Th Block,,
Starbucks,Koramangala 7Th Block,,
Cafe D'hide,Koramangala 5Th Block,,
Krazy Factory,Koramangala 5Th Block,,
Cafe Medley,Koramangala 5Th Block,,
The Vacationer's Cafe,Koramangala 7Th Block,,
Bistro Oui,Koramangala 5Th Block,,
Smally's Resto Cafe,Koramangala 5Th Block,,
Chai Galli,Koramangala 5Th Block,,
Kalmane Koffees,Koramangala 7Th Block,,
Tella Tales,Koramangala 5Th Block,,
Sardarji Londonwaley,Koramangala 1St Block,,
FreshMenu,Koramangala,,
Corner House Ice Cream,Hsr,12.9099641,77.6517528
Kannur Food Point,Btm,,
Hotel Manu,Hsr,,
Gogula's Sweets & Chats,Btm,,
La Pino'z Pizza,Koramangala 4Th Block,,
Burger King,Hsr,12.9119001,77.6382861
Truly Punjab,Koramangala 1St Block,,
Wok Paper Scissors,Koramangala 5Th Block,,
Muthashy's,Btm,12.9207693,77.6132181
Behrouz Biryani,Koramangala 8Th Block,,
Momoz,Koramangala 5Th Block,12.9359584,77.6162475
Ambur Biryani Point,Koramangala 1St Block,,
Subway,Koramangala 5Th Block,,
Kitchens@BTM,Btm,,
Kota Kachori,Koramangala 6Th Block,12.9362306,77.6254307
Taco Bell,Koramangala 6Th Block,12.9376227,77.6269262
Hakka Chinese Restaurant,Koramangala 1St Block,,
Hatti Punjab Di,Koramangala 1St Block,,
Shree Muthahalli Veg,Hsr,12.9148413,77.6446256
Chaat Street,Koramangala 6Th Block,,
Bathinda Junction,Koramangala 5Th Block,,
Anand Sweets And Savouries,Koramangala 5Th Block,,
Madeena Hotel,Hsr,,
BOX8- Desi Meals,Btm,,
KFC,Hsr,12.9131153,77.6383089
Mojo Pizza - 2X Toppings,Btm,,
Mumbai Tiffin,Hsr,,
McDonald's,Hsr,12.9121865,77.6379811
Cheesiano Pizza,Jp Nagar,,
Thalassery Restaurant,Koramangala 5Th Block,,
Podi Idly,Koramangala 6Th Block,,
Savoury - Sea Shell Restaurant,Btm,,
Grow Fit,Koramangala 6Th Block,,
Hyderabadi Biryani Hub,Btm,,
Sardarji Ka Dhaba,Hosur Road,12.9121011,77.6262626
Mad Over Donuts,Koramangala 7Th Block,,
Mustard Cafe,Koramangala 3Rd Block,,
ONE IN A MELON,Koramangala 7Th Block,,
Cakewala,Jp Nagar,12.9133572,77.5859308
Arya Hungry?,Koramangala 7Th Block,,
Cream Stone,Hsr,12.9124823,77.6386317
Sharma's Malai & Masala,Koramangala 1St Block,,
Samosa Singh,Hsr,,
Vegan Heat,Koramangala 1St Block,,
Zee5 Loft,Koramangala 6Th Block,,
Dwaraka Krishna,Btm,,
Delite Chaat House,Koramangala 6Th Block,,
Tibetan Kitchen,Koramangala 5Th Block,,
Polar Bear,Jp Nagar,12.9018724,77.5859502
Tapri By The Corner,Koramangala 5Th Block,,
Beer Adda,Koramangala 5Th Block,,
Koramangala Social,Koramangala 7Th Block,,
1722 Urban Bistro,Koramangala 5Th Block,,
Friend's Cafe,Koramangala 7Th Block,,
Desipun,Koramangala 5Th Block,,
Lucknowiz,Koramangala 1St Block,,
Gam's Delicacy,Koramangala 7Th Block,,
Domino's Pizza,Bommanahalli,,
Go Italia,Koramangala 6Th Block,,
Fattoush,Btm,,
Beijing Bites,Btm,12.913127,77.6101684
The Paratha Company,Koramangala 4Th Block,,
Purnabramha Maharashtrian Restaurant,Hsr,,
Shanmukha,Hsr,,
Koshe Kosha,Koramangala 1St Block,,
Abhiruchi Hotel,Btm,,
The Wok Shop,Koramangala 1St Block,,
Zeeshan,Koramangala 7Th Block,,
Hatti Kaapi,Koramangala 5Th Block,,
Smoor,Koramangala 7Th Block,,
Parika Multicuisine & Coastal Fine Dine,Hsr,,
The Rendezvous,Koramangala 4Th Block,,
Biryani Pot,Btm,,
Grapevine,Hsr,,
New Tasty Cafeteria,Btm,,
Cafe Terra,Koramangala 1St Block,,
Sukh Sagar,Koramangala 5Th Block,,
Sulemani Chichas,Koramangala 5Th Block,,
Maa Bhook Lagi,Koramangala 4Th Block,,
30 Square,Koramangala 5Th Block,,
Cream Chemistry,Koramangala 5Th Block,,
Chef Baker's,Hsr,,
Just Shawarma,Koramangala 5Th Block,,
Meghana Foods,Koramangala 5Th Block,,
Caffe Pascucci,Hsr,,
Zero Mile Punjab,Hsr,,
Sree Krishna Kafe,Koramangala 5Th Block,,
Shree Khana Khazana,Hsr,,
Kaaram,Koramangala 6Th Block,,
Jose's Mess,Btm,,
New Gongura Grand,Hsr,,
Popsies,Koramangala 5Th Block,,
Dreams Cafe - All Day English Food St.,Koramangala 1St Block,,
Asha Tiffins,Hsr,12.9118609,77.6326125
Mani's Dum Biryani,Koramangala 1St Block,,
Hyderabad Biryaani House,Koramangala 5Th Block,,
Gyani Da Punjabi Dhaba,Btm,12.9161858,77.6122795
Hotel Godavari,Btm,,
Onesta,Koramangala 4Th Block,,
Noodle Panda,Koramangala 5Th Block,,
Biryani Palace,Hsr,,
Bhojohori Manna,Koramangala 6Th Block,12.9373691,77.6243143
Mealer.in,Koramangala 4Th Block,,
Rang De Basanthi,Koramangala 4Th Block,,
Little Lucknow,Koramangala 5Th Block,,
The Beer Cafe,Koramangala 4Th Block,,
Attic Lounge,Koramangala 4Th Block,,
Bistro Claytopia,Koramangala 1St Block,12.9255456,77.6333329
Delicacy,Koramangala 4Th Block,,
Moolehatti Donne Biryani Mane,Hsr,,
Tibetan Mother's Kitchen,Koramangala 7Th Block,12.9348122,77.612678
Hanoi - Vietnamese Cuisine,Koramangala 4Th Block,,
What'sinaPita,Koramangala 1St Block,,
Tarbouche,Koramangala 5Th Block,,
Once Upon A Flame,Hsr,12.9118525,77.6379087
Stoned Monkey,Koramangala 6Th Block,,
Fritz Haber,Hsr,,
Bangaliana,Koramangala 7Th Block,,
Tawa Ghar Ka,Hsr,12.9152666,77.6321844
Mitran Da Junction,Koramangala 6Th Block,,
Gramin,Koramangala 7Th Block,,
Tenzin Kitchen,Koramangala 7Th Block,,
Raichur Biryani House,Hsr,,
Kumarakom,Hsr,,
DinePost9,Koramangala 1St Block,,
Oh My Biryani,Hsr,,
Curry Leaves,Jayanagar,,
Baba Chatkora,Koramangala 6Th Block,,
The Rasoiya Street,Hsr,,
Sector 7 CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Hsr,,
Smise,Koramangala 4Th Block,,
Tall Blonde French,Koramangala 5Th Block,,
The Paramount Hotel,Koramangala 5Th Block,,
Meenu Oota Da Maane,Koramangala 5Th Block,,
Habibi Falafel,Koramangala 1St Block,,
Nasi And Mee,Koramangala 4Th Block,,
Dalma,Koramangala 6Th Block,,
Mid-Night Crunch,Hsr,,
Roots,Koramangala 1St Block,12.9400467,77.6179642
Bamey's Restro Cafe,Koramangala 5Th Block,,
Shaap,Koramangala 5Th Block,,
Samaikya,Hsr,,
Pasta Street,Koramangala 4Th Block,,
Helloo Delhi,Koramangala 4Th Block,,
LIT Gastro Pub,Jayanagar,,
Cafe Thulp,Koramangala 1St Block,,
The Smoke Co.,Koramangala 6Th Block,,
Rashtrakutas,Hsr,12.9136213,77.6449401
Hunger Hitman,Koramangala,,
Snow'ora,Koramangala 4Th Block,,
New Friends,Btm,12.9167576,77.612333
Aalishan Restaurant & Caterer,Koramangala 7Th Block,,
Peace Restaurant,Koramangala 5Th Block,12.9351187,77.6226367
China Pearl,Koramangala 6Th Block,,
Anupam's Coast II Coast,Koramangala 6Th Block,,
Pazzo,Hsr,,
What's In A Name,Koramangala 5Th Block,12.9338428,77.6197996
Tunday Kababi,Koramangala 5Th Block,,
Maria's Goan Kitchen,Koramangala 7Th Block,12.9364231,77.6151528
China Bowl,Koramangala 6Th Block,,
Smokey Tribe Restaurant,Koramangala 7Th Block,,
Harry's Bar + Cafe,Koramangala 7Th Block,,
Brooks and Bonds Brewery,Koramangala 5Th Block,,
Narmadha's Hyderabad Biriyani,Btm,,
Gods Own Cafe,Koramangala 7Th Block,,
Tim Tai,Koramangala 5Th Block,,
Fill N Chill Resto Bar & Pub,Koramangala 4Th Block,,
Shift,Hsr,12.9118361,77.6388316
Swathi Maharaja,Koramangala 4Th Block,,
Via Milano,Koramangala 4Th Block,,
Oldtown Dilli,Koramangala 4Th Block,,
Fava Bistro,Koramangala 5Th Block,,
Tandoor Hut,Koramangala 5Th Block,,
Crawl Street,Koramangala 5Th Block,,
Zingron,Koramangala 7Th Block,12.9363805,77.6151025
Magnolia,Koramangala 3Rd Block,,
Kargeens,Koramangala 6Th Block,,
Drunkling - Sizzlers and Pub,Koramangala 5Th Block,,
Vyanjan,Btm,,
Carrots,Koramangala 6Th Block,12.9388196,77.625775
Rolls & Co,Koramangala 6Th Block,,
Sunny Cafe & Kitchen,Hsr,,
Whooppeezz,Btm,,
Hungry Lee,Btm,,
Cinnamon,Hsr,12.9153185,77.6367517
Banjara Melting Pot,Koramangala 4Th Block,,
Kopper Kadai,Koramangala 5Th Block,,
Entropy Cafe,Koramangala 6Th Block,,
Momo Hut,Koramangala 5Th Block,,
7 Plates,Koramangala 5Th Block,,
Imperial Restaurant,Koramangala 6Th Block,12.9364077,77.6250803
Chef All Nite,Btm,,
Cafemoto,Koramangala 5Th Block,,
Keep It Straight Cafe,Hsr,,
Rollin,Koramangala 4Th Block,,
Donne Biriyani House,Hsr,,
Berry'd Alive,Koramangala 5Th Block,,
Banana Beach Bar,Koramangala 6Th Block,,
Gilly's Restobar,Koramangala 5Th Block,,
Big Wong XL,Koramangala 5Th Block,,
Nagarjuna,Koramangala 5Th Block,,
Kritunga Restaurant,Koramangala 5Th Block,,
Khawa Karpo,Koramangala 5Th Block,,
The Himalayan,Koramangala 5Th Block,,
Art of Delight,Koramangala 5Th Block,,
Ocean,Koramangala 6Th Block,12.9384867,77.6235272
House Of Commons,Koramangala 5Th Block,,
Happy Brew,Koramangala 5Th Block,,
California Burrito,Koramangala 5Th Block,,
Royal Treat,Koramangala 5Th Block,,
Moghul Durbar Restaurant,Jayanagar,,
Anjappar,Koramangala 4Th Block,,
Nandhana Palace,Koramangala 4Th Block,,
Indian Coffee House & Restaurant,Koramangala 5Th Block,,
Baba Da Dhaba,Koramangala 7Th Block,,
The ThickShake Factory,Koramangala 7Th Block,,
Cilantro,Koramangala 4Th Block,,
Amma's Pastries,Btm,12.91347,77.6099391
CakeZone,Btm,,
Kesar Sweet Shop and Fast Food,Btm,,
Kurtoskalacs,Koramangala 5Th Block,,
Sixth Avenue Cafe And Patisserie,Koramangala 5Th Block,,
Belgian Waffle Factory,Koramangala 5Th Block,,
Frozen Bottle,Koramangala 5Th Block,,
Krispy Kreme,Koramangala 7Th Block,,
Cream Stone,Koramangala 5Th Block,,
Lassi Shop,Koramangala 5Th Block,12.9340215,77.6293735
A2B - Adyar Ananda Bhavan,Btm,,
Ambur Star Briyani,Btm,,
KFC,Btm,12.9147553,77.6102465
Domino's Pizza,Btm,,
Faasos,Btm,,
Kabab Magic,Btm,,
Just Shawarma,Btm,,
Bombay Adda,Koramangala 7Th Block,,
The Reservoire,Koramangala 5Th Block,,
Indigo XP,Koramangala 5Th Block,,
Fenny's Lounge And Kitchen,Koramangala 7Th Block,,
Sharief Bhai,Koramangala 5Th Block,,
ECHOES Koramangala,Koramangala 5Th Block,,
Chianti,Koramangala 5Th Block,,
The Terrace at Gilly's Redefined,Koramangala 4Th Block,,
The Boozy Griffin,Koramangala 5Th Block,,
Simon Says Brew Works,Koramangala 5Th Block,,
Myu Bar at Gilly's Redefined,Koramangala 4Th Block,,
Kobe Sizzlers,Koramangala 5Th Block,,
Public - The Rooftop Bar And Kitchen,Bannerghatta Road,,
Al-Bek,Jayanagar,,
Shanmukha,Jayanagar,,
Chinita Real Mexican Food,Koramangala 5Th Block,,
Karama Restaurant,Koramangala 5Th Block,,
Sathya's,Koramangala 3Rd Block,,
Rajdhani Thali Restaurant,Koramangala 7Th Block,,
Chung Wah,Koramangala 5Th Block,12.9366057,77.6205137
Mani's Dum Biryani,Koramangala 5Th Block,,
Tilt Gastro Lounge,Koramangala 5Th Block,,
52 Wall Street,Koramangala 6Th Block,,
Smoke - The Sizzler House,Koramangala 7Th Block,,
JukeBox,Koramangala 7Th Block,12.936364,77.6147769
Sherlock's Pub,Koramangala 5Th Block,,
Starbucks,Jp Nagar,12.9162412,77.5925774
Axomi - Taste of Assam,Koramangala 7Th Block,,
Mavalli Tiffin Room (MTR),Jp Nagar,,
Burger King,Koramangala 7Th Block,,
Atta Galata,Koramangala 5Th Block,,
Taco Bell,Bannerghatta Road,12.9141742,77.5995886
Donne Biriyani House,Jayanagar,,
SLV Restaurant,Jp Nagar,12.9153417,77.5948673
Mynt - The Taj West End,Race Course Road,,
Starbucks,Church Street,12.9745524,77.6073356
Cafe Coffee Day The Square,Lavelle Road,,
Smally's Resto Cafe,Ulsoor,,
Domino's Pizza,Shanti Nagar,,
Maravanthe,Indiranagar,,
Mangalore pearl - Seafood Restaurant,Frazer Town,,
The Yogisthaan Cafe,Indiranagar,,
Millers 46,Vasanth Nagar,12.9893169,77.5942146
Samrat Restaurant,Race Course Road,,
Sunny Side Bistro,Frazer Town,,
Chowmein,Seshadripuram,,
Desi Vdesi,Church Street,12.9755327,77.6032754
Watson's,Ulsoor,12.9908548,77.6192753
Burger King,Commercial Street,12.9828282,77.606756
Blue Ginger - The Taj West End,Race Course Road,,
Masala Klub - The Taj West End,Race Course Road,,
The Big Barbeque,Electronic City,12.8391847,77.6507114
Fire Station,Electronic City,12.8353689,77.6626414
Barbeque Nation,Electronic City,,
Onesta,Electronic City,,
Time Traveller - Sai Vishram,Electronic City,,
24@43 - The Oterra,Electronic City,,
Citrus Cafe - Lemon Tree Hotel,Electronic City,,
Bazaar - Zone By The Park,Electronic City,,
Fishing Boat - Hotel Goyal Residency,Electronic City,,
Soul Indian Specialty - Svenska Design Hotel,Electronic City,,
Cafe Happytizing,Electronic City,,
Delhi Base Sri Food Court,Electronic City,,
Indian Food Court,Electronic City,,
New Punjabi Food Corner,Electronic City,,
BOX8- Desi Meals,Electronic City,,
Swad 'E' Punjab,Electronic City,,
Desi Dhaba,Electronic City,,
Burger King,Electronic City,12.8417922,77.6477533
Insomniac's Delight,Electronic City,,
Maa Reddy's Hyderabadi Biryani House,Electronic City,,
Paradise,Electronic City,12.8657376,77.645392
Biryani Darbar,Electronic City,,
Parathe Wali Gali,Electronic City,,
King,Electronic City,12.8417922,77.6477533
Behrouz Biryani,Electronic City,,
Hyderabadi Spice,Electronic City,12.8400532,77.6643768
KFC,Electronic City,12.839628,77.6593925
Pallavi Restaurant,Electronic City,12.8482581,77.6625319
Thalassery Restaurant,Electronic City,12.8521971,77.6551085
Hyderabad Magic,Electronic City,,
Pizza Republic,Electronic City,,
7 Days Restaurant,Electronic City,,
Frozen Bottle,Electronic City,,
Doof,Electronic City,,
The Rasoiya Street,Electronic City,,
Ruchi Sagar,Electronic City,12.8476862,77.6713708
New Andhra House,Electronic City,,
Royal Bengal Corner,Electronic City,,
Laddoos,Electronic City,,
Food Ras,Electronic City,,
Notebook Food Court,Electronic City,,
Samosa Singh,Electronic City,,
Biriyani Zone,Electronic City,,
Volga Restaurant,Electronic City,,
The Elaichi Restaurant,Electronic City,,
Sila Restaurant,Electronic City,12.8523414,77.6570553
Parampara - The Veg Kitchen,Electronic City,,
Karaikudi Restaurant,Electronic City,,
Mamaji's,Electronic City,12.8409397,77.6507954
Kittu's,Electronic City,,
Sky Lounge Bar - Svenska Design Hotel,Electronic City,,
Gilly's Restobar,Electronic City,,
Kritunga Restaurant,Electronic City,12.8417945,77.6465222
Sitara Veg Restaurant,Electronic City,,
Republic Of Noodles - Lemon Tree Hotel,Electronic City,,
Godavari Delights,Electronic City,,
A2B - Adyar Ananda Bhavan,Electronic City,,
Beijing Bites,Electronic City,12.8487114,77.6575809
Z-Bar,Electronic City,,
Faasos,Electronic City,,
Happy Belly Bakes,Frazer Town,,
eat.fit,Indiranagar,,
FreshMenu,North Bangalore,,
Empire Restaurant,Rt Nagar,13.0169921,77.5914678
Al Amanah Cafe,Kammanahalli,13.0155316,77.6394955
Thalassery Restaurant,Kammanahalli,13.0194926,77.6369287
Paradise,Indiranagar,12.9921236,77.6390284
Bathinda Dine,Indiranagar,,
Taco Bell,Indiranagar,,
Sanky's Burger House,Hennur,,
Altaf's Chillies Restaurant,Frazer Town,,
The Mangalorean,Kammanahalli,,
Connie's Restaurant & Steakhouse,Kammanahalli,,
Seafood Place,Indiranagar,,
Annabell,Indiranagar,,
Glen's Bakehouse,Indiranagar,12.9791823,77.6405804
Thai House,Indiranagar,,
Imli,Indiranagar,12.9798335,77.6395891
Chubalas Curry And Rice,Kammanahalli,,
New Peking,Kammanahalli,,
Mahadii's,Kammanahalli,,
Cafe Thulp,Kammanahalli,,
Yuan Restaurant,Hbr Layout,,
Domino's Pizza,Frazer Town,,
Pulimunchi,Indiranagar,,
Giselle Resto Cafe,Kammanahalli,,
Elements Eatery,Frazer Town,,
Beijing Bites,Frazer Town,12.9973063,77.6138674
Sherlock's Pub,Frazer Town,12.9946747,77.6150372
Pista House,Frazer Town,13.000759,77.6134424
The Sugar Fairy,Frazer Town,,
The Teal Door Cafe,Indiranagar,,
Byblos,Indiranagar,,
Konark Vegetarian Restaurant,Commercial Street,,
Albert Bakery,Frazer Town,12.9966022,77.614216
Corner House Ice Cream,Frazer Town,,
Bombay Chowpaty Kulfi,Frazer Town,,
Belgian Waffle Factory,Vasanth Nagar,,
Sharief Bhai,Frazer Town,12.9969083,77.6139947
Empire Restaurant,Hsr,12.91519,77.6355368
Atithi,Hsr,,
Foxtrot - House of Subculture,Koramangala 3Rd Block,,
Barbeque Nation,Koramangala 1St Block,12.9255152,77.6370763
Zee5 Loft,Hsr,,
Tea Villa Cafe,Hsr,,
Here & Now,Hsr,,
Grilliez,Hsr,,
The Chocolate Room,Hsr,,
Midnight Mania,Koramangala 6Th Block,,
BOX8- Desi Meals,Hsr,,
Aligarh House,Hsr,,
Mojo Pizza - 2X Toppings,Hsr,,
Silbatti,Hsr,12.9162168,77.64458
Kapoor's Cafe,Hsr,12.9080295,77.6519331
The Punjabi Rasoi,Hsr,12.9118274,77.6384331
HSR High Street,Hsr,12.912748,77.635114
Fish & Fries Restaurant,Hsr,12.9085132,77.6515084
Punjabi Nawabi,Hsr,,
Mustard Food Court,Hsr,,
Krutunga,Hsr,,
Udupi Palace,Hsr,,
Vasudev Adiga's,Hsr,,
Rolls On Wheels,Hsr,,
Mughal Treat,Hsr,,
The Alphaa,Bommanahalli,,
Meeraa's Beegara Oota,Hsr,,
Northam's Pizza.Pita,Hsr,,
Helloo Delhi,Hsr,12.911789,77.6432674
SR Andhra Spicy House,Bommanahalli,,
Punjabi Nukkad Pure Veg,Hsr,,
BIB - Breakfast in the Box,Hsr,,
Sichuan,Hsr,,
Families Food Court,Hsr,,
Thalassery Restaurant,Bellandur,,
Leon Grill,Hsr,12.9117875,77.6437931
Cakewala,Hsr,,
Polar Bear,Hsr,12.9110517,77.6517239
Shubh Sweets,Hsr,12.9138605,77.6516831
TBC Sky Lounge,Hsr,12.9228942,77.651441
Hangover,Hsr,,
House Of Commons,Hsr,12.9118905,77.6388252
Vanilla Sky,Hsr,,
Baar Union,Hsr,,
Cirkus,Hsr,12.9123355,77.6437969
Safe House,Hsr,,
The Colony Gastropub,Hsr,,
Luo Han,Hsr,,
Raghavendra Tiffin,Hsr,,
Faasos,Hsr,,
Domino's Pizza,Hsr,,
Pappu Chaiwalla,Hsr,,
Royal Calcutta Restaurant,Koramangala 1St Block,,
The Kebab Room - Restaurant & Brewery,Indiranagar,,
Peacock,Indiranagar,12.9750628,77.6412415
Big Pitcher,Old Airport Road,12.9602379,77.6468937
Barbeque Nation,Indiranagar,12.9519422,77.6397478
LOFT38,Indiranagar,,
Urban Tamaasha,Indiranagar,,
Mainland China,Indiranagar,,
Little Italy,Indiranagar,12.9773951,77.6406976
Dhaba - Estd 1986 Delhi,Indiranagar,,
Pasta Street,Indiranagar,,
Southindies,Indiranagar,,
Oye Amritsar,Indiranagar,12.9752422,77.6470259
Cafe Max,Indiranagar,12.9783994,77.6443108
